word	sentiment	lexicon
conflagration	negative	nrc
conflict	negative	nrc
conflicting	negative	nrc
conformance	positive	nrc
confound	negative	nrc
confounded	negative	nrc
confuse	negative	nrc
confusion	negative	nrc
congenial	positive	nrc
congestion	negative	nrc
congratulatory	positive	nrc
congregation	positive	nrc
congruence	positive	nrc
conjuring	negative	nrc
connoisseur	positive	nrc
conquest	negative	nrc
conscience	positive	nrc
conscientious	positive	nrc
consciousness	positive	nrc
consecration	positive	nrc
conservation	positive	nrc
conserve	positive	nrc
considerable	positive	nrc
considerate	positive	nrc
consistency	positive	nrc
console	positive	nrc
consonant	positive	nrc
conspirator	negative	nrc
conspire	negative	nrc
constancy	positive	nrc
constant	positive	nrc
consternation	negative	nrc
constipation	negative	nrc
constitutional	positive	nrc
constrain	negative	nrc
constrained	negative	nrc
constraint	negative	nrc
construct	positive	nrc
consummate	positive	nrc
contact	positive	nrc
contagion	negative	nrc
contagious	negative	nrc
contaminate	negative	nrc
contaminated	negative	nrc
contamination	negative	nrc
contemplation	positive	nrc
contempt	negative	nrc
contemptible	negative	nrc
contemptuous	negative	nrc
content	positive	nrc
contentious	negative	nrc
continue	positive	nrc
contour	positive	nrc
contraband	negative	nrc
contracted	negative	nrc
contradict	negative	nrc
contradiction	negative	nrc
contradictory	negative	nrc
contrary	negative	nrc
contrasted	negative	nrc
contravene	negative	nrc
contravention	negative	nrc
contribute	positive	nrc
contributor	positive	nrc
controversial	negative	nrc
controversy	negative	nrc
convenience	positive	nrc
convenient	positive	nrc
convent	positive	nrc
convention	positive	nrc
conversant	positive	nrc
conversational	positive	nrc
convert	positive	nrc
convict	negative	nrc
conviction	negative	nrc
convince	positive	nrc
cool	positive	nrc
coolness	positive	nrc
coop	negative	nrc
cooperate	positive	nrc
cooperating	positive	nrc
cooperation	positive	nrc
cooperative	positive	nrc
copy	negative	nrc
copycat	negative	nrc
core	positive	nrc
coronation	positive	nrc
coroner	negative	nrc
corporal	negative	nrc
corporation	positive	nrc
corporeal	positive	nrc
corpse	negative	nrc
correction	negative	nrc
corrective	positive	nrc
correspondence	positive	nrc
corroborate	positive	nrc
corrosion	negative	nrc
corrosive	negative	nrc
corrupt	negative	nrc
corrupting	negative	nrc
corruption	negative	nrc
cosmopolitan	positive	nrc
cosy	positive	nrc
cough	negative	nrc
council	positive	nrc
counsel	positive	nrc
counsellor	negative	nrc
counselor	positive	nrc
count	positive	nrc
countess	positive	nrc
courage	positive	nrc
courageous	positive	nrc
coursing	negative	nrc
courteous	positive	nrc
courtesy	positive	nrc
courtship	positive	nrc
cove	positive	nrc
covenant	positive	nrc
covet	negative	nrc
coward	negative	nrc
cowardice	negative	nrc
cowardly	negative	nrc
crabby	negative	nrc
